class,eccentricity,aspect-ratio,elongation,solidity,stochastic-convexity,isoperimetric-factor,maximal-indentation-depth,lobedness,average-intensity,average-contrast,smoothness,third-moment,uniformity,entropy
1,,1.0118,0.6301,0.57134,0.81053,0.16187,0.11115,2.2486,0.027309,0.088889,0.0078393,0.0022734,0.00017545,0.86
4,0.99512,10.377,0.90564,0.92135,0.99825,0.17941,0.016647,0.050433,0.0204,0.071662,0.0051092,0.0012661,0.00017021,0.71514
3,0.19287,1.0551,0.25044,0.93641,0.99474,0.47284,0.019693,0.070581,0.055935,0.1303,0.016694,0.0045832,0.00044001,1.4111
1,0.52212,1.1191,0.70988,0.50678,0.64912,0.1412,0.13192,3.1674,0.025478,0.085964,0.0073356,0.0021793,0.0001485,0.82809
3,0.33254,1.1208,0.27473,0.93625,0.99474,0.49836,0.024394,0.1083,0.10809,0.16882,0.027709,0.0059808,0.0012335,2.4866
2,0.58232,1.343,0.29271,0.95055,0.99825,0.71499,0.026876,0.13146,0.068134,0.13204,0.017136,0.0036798,0.0014697,1.6315
1,0.54893,1.1111,0.63983,0.56623,0.6,0.15743,0.13081,3.1143,0.021231,0.079722,0.0063155,0.0019123,7.39E-05,0.71949
1,0.52382,1.1117,0.67175,0.54701,0.62982,0.15157,0.13674,3.4028,0.026434,0.085792,0.0073064,0.0021373,0.00016583,0.90513
4,0.99571,10.352,0.90609,0.90652,0.97895,0.16732,0.025787,0.12103,0.023523,0.089455,0.0079387,0.0028882,6.93E-05,0.73774
1,0.39092,1.087,0.68174,0.50961,0.6614,0.15361,0.14082,3.6093,0.028638,0.089135,0.0078824,0.0021177,0.00021044,0.90082
3,,1.1428,0.24265,0.93638,0.99123,0.47846,0.019721,0.070781,0.1074,0.18794,0.034115,0.0089893,0.0015026,1.9019
4,0.99871,19.038,0.94834,0.851,0.90702,0.086183,0.073048,0.97117,0.0078165,0.048089,0.0023072,0.00075332,1.29E-05,0.34029
2,0.53283,1.3078,0.25925,0.96727,1,0.77065,0.017745,0.057312,0.05341,0.12259,0.014806,0.0035923,0.0012358,1.1886
3,0.45767,1.1629,0.24078,0.94275,0.99298,0.63919,0.020279,0.074844,0.028432,0.095746,0.0090841,0.002812,0.0001478,0.78535
4,0.99569,9.9653,0.90578,0.91515,0.9807,0.17113,0.023896,0.10392,0.020381,0.082596,0.0067759,0.0024074,5.05E-05,0.67264
2,0.11708,1.0944,0.1745,0.97545,1,0.81957,0.016114,0.047259,0.033007,0.087092,0.0075278,0.001568,0.0006066,1.0292
2,0.64897,1.4597,0.3304,0.97406,1,0.75323,0.016021,0.046715,0.012025,0.050266,0.0025203,0.00051116,0.00013299,0.49261
1,0.47565,1.0656,0.69172,0.5233,0.49649,0.14133,0.12987,3.0697,0.023977,0.0842,0.0070397,0.0020845,0.00011284,0.77399
4,0.99518,10.421,0.90385,0.96551,0.98947,0.20051,0.0077228,0.010855,0.021258,0.080385,0.0064203,0.0019168,9.56E-05,0.66405
4,,11.361,0.914,0.91815,0.93684,0.14435,0.019976,0.072629,0.020667,0.085514,0.0072595,0.0028469,4.65E-05,0.67925
3,0.4803,1.2022,0.26797,0.94544,0.99825,0.52139,0.022778,0.09443,0.066259,0.14818,0.021485,0.0061942,0.00073522,1.3669
3,0.55518,1.2318,0.25226,0.94783,0.99123,0.54965,0.015115,0.041582,0.059148,0.13996,0.019211,0.0057336,0.00042099,1.3579
3,0.39606,1.1647,0.29415,0.94064,0.99298,0.5486,0.025244,0.11598,0.051625,0.12014,0.014228,0.003721,0.00038216,1.4943
1,0.50692,1.127,0.67203,0.53024,0.75263,0.16792,0.13006,3.0788,0.015279,0.057592,0.0033059,0.00072847,0.00010983,0.67289
2,0.44567,1.2107,0.20257,0.97104,0.99123,0.80094,0.016177,0.047628,0.020632,0.074115,0.0054631,0.0013865,0.00016174,0.66423
1,0.24465,1.047,0.60511,0.56524,0.79474,0.21788,0.12522,2.854,0.037595,0.127,0.015874,0.006587,0.00010798,0.8331
3,0.2458,1.1011,0.20617,0.94995,0.99298,0.53189,0.012818,0.029901,0.14279,0.20537,0.04047,0.0090273,0.0018094,2.579
2,,1.2496,0.2238,0.98317,1,0.82495,0.010372,0.01958,0.047482,0.10274,0.010444,0.0019794,0.0011976,1.341
4,0.99841,16.832,0.94116,0.85531,0.9,0.094537,0.035845,0.23384,0.012341,0.066682,0.0044268,0.0017052,1.77E-05,0.41828
1,0.38203,1.0405,0.6901,0.48549,0.63684,0.13165,0.11852,2.5565,0.027997,0.093312,0.008632,0.0026591,0.00012469,0.84994
2,0.6368,1.4266,0.29976,0.9747,0.99825,0.78457,0.013385,0.032608,0.028272,0.084495,0.0070888,0.0017155,0.00031351,0.913
2,0.4443,1.2035,0.19432,0.98319,1,0.833,0.010317,0.019373,0.029059,0.10265,0.010427,0.003627,0.00011748,0.73255
2,0.67925,1.487,0.33465,0.97307,0.98246,0.7713,0.012399,0.02798,0.0075996,0.044132,0.0019439,0.00049059,3.69E-05,0.28857
1,0.36462,1.0811,0.67755,0.49042,0.68772,0.14118,0.1243,2.8118,0.037866,0.11692,0.013485,0.0046475,0.0001769,0.9229
